uuid	name	name_alt	operator_name	website	top_elevation_m	base_elevation_m	num_runs	num_lifts	total_piste_km	typical_season_open	typical_season_close	note
3df17365-3b1b-473b-bf9b-1c726a134b42	Les Diablerets	Alpes Vaudoises	Télé Villars-Gryon-Diablerets SA (TVGD)	https://www.tvgd.ch	2120	1224		30	87	12-05	04-12	Village 1160 m, joins the domain via Meilleret. The local Isenau sector has been closed since 2017/18
833c4bb3-dc38-4d16-9f72-4e5a52ac6965	Glacier 3000	Alpes Vaudoises	Glacier 3000 (Gstaad 3000 AG)	https://www.glacier3000.ch	3016	1546	9	10	31	11-08	04-30	Distinct glacier area, separate operator from TVGD. Base = Col du Pillon station; lowest lift point Reusch ~1345 m
2cf4001f-f631-45a2-91cf-77421537a8d3	Aigle											NOT_A_SKI_RESORT - valley town on the Rhône plain (~415 m), no lifts or pistes
ec9d8e2f-dd18-4482-81ff-a934ba9b66aa	Moléson	Gruyères	Gruyères-Moléson-Vudalla SA	https://www.moleson.ch	1978	1109	6	6	30	12-15	02-28	Fribourg pre-alpine area; funicular to Plan-Francey plus cable car to the 2002 m summit. Short low-altitude season
b7eeb4e7-a773-4fe3-b2b7-f6566cfa9e2b	Charmey	Gruyères	TéléCharmey SA	https://www.charmey.ch	1626	875		5	30	12-15	03-15	Charmey-Vounetz; run count not published, lift count varies 4-5 by source
c5962835-e2aa-4258-b364-862d257eaea3	Jaun	Jaunbach	Jaun-Gastlosen Bergbahnen AG	https://jaun-bergbahnen.jimdoweb.com	1571	1023		4	20	12-15	03-22	Small area at the foot of the Gastlosen; run count not reliably published
fd30b251-fe78-4591-9645-60fbb7b71ae5	Rochers-de-Naye	Montreux area	SID Montreux	https://www.montreuxriviera.com	2012	1898		3	1	12-13	03-29	Still operating: ~1 km of piste, rail access only via the MOB cog railway. Lift count varies 3-5 by source
fe02a2d3-d79b-4098-b6ac-54646f855742	Andermatt	SkiArena	Andermatt-Sedrun Sport AG	https://www.andermatt-sedrun-disentis.ch	2961	1444	43	22	120	11-15	04-18	SkiArena Andermatt-Sedrun. With Disentis the combined region is 180 km / 33 lifts. Majority-owned by Vail Resorts since 2022
2d190485-600b-4424-a1b7-68584ac82e91	Realp	Andermatt area	Skilift Realp	https://www.skiliftrealp.ch	1660	1550	1	2	1	12-15	03-28	Small T-bar + pony lift at the foot of the Furka Pass; separate from SkiArena, limited weekday opening
34c7efd1-99cd-42ca-b40a-eea7f78f16cc	Göschenen											NOT_A_SKI_RESORT - valley village (~1100 m) at the Gotthard north portal; nearest areas are Gemsstock/Andermatt 6-7 km away
2a92771f-c4dc-4a64-8ec9-950f1afcd952	Engelberg		TITLIS Bergbahnen	https://www.engelberg.ch	3020	1002		26	82	10-11	05-03	Covers Titlis-Trübsee-Jochpass plus the separate Brunni sector; Titlis sector alone is ~70 km / 18 lifts. Glacier gives a long season
daf160e5-62ef-4298-9a33-f24121a9e3a5	Melchsee-Frutt		Sportbahnen Melchsee-Frutt AG	https://frutt.ch	2255	1080	10	16	36	12-13	04-06	Base is Stöckalp 1080 m; the car-free village sits at ~1920 m, reached by gondola
4b711fc0-2355-4d83-839d-a5164313d5c8	Elm	Glarnerland	Sportbahnen Elm AG	https://sportbahnenelm.ch	2105	1020	16	5	40	12-12	03-28	Elm im Sernftal; official site states 40 km (some aggregators say 44), lift count varies 5-6
a5f4c802-10c3-4006-96d2-17f0fcefbe18	Braunwald	Glarnerland	Sportbahnen Braunwald AG	https://www.braunwald.ch	1901	1256						ALPINE SKI OPERATIONS DISCONTINUED from winter 2026/27 (announced 22 Jun 2026). Piste/lift/season fields blanked - pre-closure figures (~26 km, 10 lifts) no longer valid
2e85c106-25d5-4587-a91b-5b2d6867d59e	Klausenpass											NOT_A_SKI_RESORT - road pass (1948 m) closed from late Oct/early Nov to late May/June; no lifts
afe919a9-cdc8-4f3f-aeec-96d1ddbde28d	Wildhaus	Toggenburg	Bergbahnen Wildhaus AG	https://www.wildhaus.ch	2076	1020	12	6	23	12-12	03-28	Wildhaus-Gamserrugg sector. Shares the Toggenburg pass with Chäserrugg but is NOT lift-connected to it
f3826e53-ef76-4039-b7aa-c5b2f39cfc8b	Unterwasser	Toggenburg	Toggenburg Bergbahnen AG	https://www.chaeserrugg.ch	2262	910	23	12	50	11-28	04-06	Base village of the Chäserrugg/Unterwasser/Alt St. Johann sector; different operator from Wildhaus, not lift-connected
d0407dac-5400-4864-8667-36fe6ac042f6	Flumserberg		Bergbahnen Flumserberg AG	https://www.flumserberg.ch	2222	1220	43	17	65	11-16	03-29	Largest area between Zurich and Chur. Gondola also runs from Unterterzen (425 m); lowest piste ends at 665 m
997b8c34-ba8a-4bda-a5b2-995035c4c51a	Pizol	Bad Ragaz	Pizolbahnen AG	https://pizol.com	2250	509	22	12	43.6	11-27	04-04	Base 509 m is the Bad Ragaz valley station; second base at Wangs. Resort markets ~50 km incl. ski routes
cba3dc70-c1e0-4def-bbd0-cb3e332169f8	Airolo	Leventina	Valbianca SA	https://www.airolo.ch	2250	1175		8	30	12-23	03-28	Airolo-Pesciüm, Valle Leventina. Plus ~10 km of ski routes and ~1 km night skiing. Run count not published
740a7437-4d07-42c0-b225-b9566ed1ae06	Bedretto	Valle Bedretto	Impianti Turistici Cioss Prato	https://ciossprato.jimdofree.com	1610	1550		2	0.6	12-26	03-15	Cioss Prato (Villa, Bedretto): one T-bar plus a children's lift, 60 m vertical. Val Bedretto is mainly cross-country
395c3903-60d5-4a5b-b284-8c57fabc5e54	Bosco Gurin		Centri Turistici Montani SA	https://www.bosco-gurin.ch	2331	1482	13	7	30	12-15	04-05	Grossalp above Bosco/Gurin, Ticino's highest and only Walser-German village. Some sources quote ~2400 m top
08759426-8006-4202-bbb4-9df8ee2571a9	Blenio	Lucomagno	Società Cooperativa Impianti Turistici Campo Blenio-Ghirone	https://www.campoblenio.ch	1578	1207		3	2	12-15	03-15	Matched to Campo Blenio. Lucomagno pass itself has no lifts. Nara-Leontica is in Acquarossa, not Blenio
eca1ec24-1a29-4aac-a9cf-9d5820552546	Locarno	Centovalli										NOT_A_SKI_RESORT - lakeside city (~200 m); Centovalli is a valley/rail line. Nearby Cardada-Cimetta permanently ended ski operations
6555f088-e308-4487-a08d-5210bb0cc4c1	San Bernardino	Mesolcina	San Bernardino SA Impianti Turistici	https://sanbernardino-swissalps.com	2525	1637	15	11	39.8	12-06	03-28	Closed for several years, reopened 27 Dec 2023 under new owner. Operation remains snow/finance dependent - verify each season
