uuid	name	kind	tier	canton	region	latitude	longitude	name_alt	operator_name	website	why_it_matters	top_elevation_m	base_elevation_m	num_runs	num_lifts	total_piste_km	typical_season_open	typical_season_close	note
579aefe6-fd6b-49c5-8e9e-39a079a58659	Zweisimmen	RESORT	STANDARD	BE	CH-1228			Simmental	Bergbahnen Destination Gstaad AG	https://bergbahnen-gstaad.ch		2011	948		16	88.9	11-27	04-04	Rinderberg/Saanerslochgrat/Horneggli sector serving Zweisimmen/Saanenmöser/Schönried/St. Stephan
0b1d5b04-22da-48a2-967c-cbc28e7cf5f6	Lenk	RESORT	STANDARD	BE	CH-1224			Simmental	Bergbahnen Adelboden-Lenk AG	https://betelberg.ch		2001	1083		11	42	12-15	04-05	Betelberg sector; former Lenk Bergbahnen merged into Bergbahnen Adelboden-Lenk AG in 2023/24
0791db43-d986-42ef-a247-46b0da5b8021	Adelboden	RESORT	CORE	BE	CH-1226				Bergbahnen Adelboden-Lenk AG	https://www.adelboden-lenk.ch		2200	1260		22	86	11-28	04-11	Chuenisbärgli/Silleren/Hahnenmoos/Metsch sector, incl. the Chuenisbärgli World Cup slope
7c2df3aa-9547-40c5-a839-8c7382353662	Kandersteg	RESORT	STANDARD	BE	CH-1231			Kandertal	Gondelbahn Kandersteg-Oeschinensee AG	https://www.oeschinensee.ch		1730	1200		6	13	12-15	03-15	Oeschinensee sector; small standalone area, not part of a larger domain
8b6163c0-29c3-4a62-9e6c-3926a5a392f5	Meiringen	RESORT	STANDARD	BE	CH-1244			Haslital	Bergbahnen Meiringen-Hasliberg AG	https://www.meiringen-hasliberg.ch		2433	1065		13	60	12-15	04-05	Shared domain with Hasliberg; Meiringen town (~595 m) connects via gondola
4c982ac5-85e6-4aa7-aee5-7906c1e758f9	Hasliberg	RESORT	STANDARD	BE	CH-1244			Haslital	Bergbahnen Meiringen-Hasliberg AG	https://www.meiringen-hasliberg.ch		2433	1065		13	60	12-15	04-05	Same connected Meiringen-Hasliberg domain
b6854f15-652d-4f41-999b-d384fb496d00	Grimmialp	RESORT	STANDARD	BE	CH-1228			Niedersimmental	Grimmialpbergbahnen Diemtigtal AG	https://www.grimmialp.ch		1833	1233		3	7.2	12-15	03-15	Small family area in the Diemtigtal nature park, near Schwenden
ca8f664b-8bd7-40bf-8015-54d08ce5dcca	Frutigen	RESORT	STANDARD	BE	CH-1226				Elsigenalpbahnen AG	https://elsigen-metsch.ch		2289	1334		11	30	11-15	04-05	Elsigen-Metsch sector; accessed from Achseten near Frutigen, not from the town itself
d23ee1cd-1ec3-4892-9ca8-fb800c323ca9	Beatenberg	RESORT	STANDARD	BE	CH-1213				Niederhornbahn AG	https://www.niederhorn.ch		1945	1127		3	5	12-15	03-15	Small Niederhorn family area above Beatenberg
2d459c55-d49a-4002-8bc5-b2a7534d85f9	Grimsel	TOURING_TERRAIN	STANDARD	BE	CH-1247			Haslital high											mountain pass road under winter closure; no lifts
056411c3-f66e-4bc6-853d-f7d670541a56	Sustenpass	TOURING_TERRAIN	STANDARD	BE	CH-1246														mountain pass road under winter closure; no lifts
9e2f63b5-5f8e-4114-ac86-c1c9e643fe1b	Lötschental	RESORT	CORE	BE/VS	CH-4211				Lauchernalp Bergbahnen AG	https://www.loetschental.ch		3100	1403	12	6	37.5	12-15	04-15	Valley of several villages; the Lauchernalp domain is accessed by cable car from Wiler
f6aed16f-e5f4-4a61-b7f3-9edf304399ed	Blatten	TOURING_TERRAIN	STANDARD	VS	CH-4211			Lötschental											no lifts of its own (valley skiing is via Lauchernalp from Wiler); village largely destroyed by the May 2025 rockslide
9b08079a-9b73-4e0c-b4ca-a8a40c4f933c	Leysin	RESORT	STANDARD	VD	CH-1113			Alpes Vaudoises	Télé Leysin-Col des Mosses-La Lécherette SA (TLML)	https://www.tlml.ch		2198	1250		12	60	11-25	04-15	Leysin sector; bus-linked to Les Mosses-La Lécherette for a combined ~100 km
958e98c8-d45b-444e-8235-10a1ed07ef3e	Villars-sur-Ollon	RESORT	STANDARD	VD	CH-1114			Alpes Vaudoises	Télé Villars-Gryon-Diablerets SA (TVGD)	https://www.villars.ch		2120	1224		30	87	12-05	04-15	Connected Villars-Gryon-Les Diablerets domain; TVGD markets 100+ km, measured 87 km
14ebed62-2769-4918-ad7e-e45392487515	Gryon	RESORT	STANDARD	VD	CH-1114			Alpes Vaudoises	Télé Villars-Gryon-Diablerets SA (TVGD)	https://www.tvgd.ch		2120	1224		30	87	12-05	04-12	Gryon village 1130 m, gondola base at Barboleuse; figures are the whole connected domain
223e051c-6e5f-4b7a-9859-af72b224482e	Château-d'Oex	RESORT		VD	CH-1112														NOT_A_SKI_RESORT - La Braye closed since 2018 (commune withdrew subsidies), Monts Chevreuils abandoned 2024; only a snow garden and sledging today
3df17365-3b1b-473b-bf9b-1c726a134b42	Les Diablerets	RESORT	STANDARD	VD	CH-1114			Alpes Vaudoises	Télé Villars-Gryon-Diablerets SA (TVGD)	https://www.tvgd.ch		2120	1224		30	87	12-05	04-12	Village 1160 m, joins the domain via Meilleret. The local Isenau sector has been closed since 2017/18
833c4bb3-dc38-4d16-9f72-4e5a52ac6965	Glacier 3000	RESORT	STANDARD	VD	CH-1114			Alpes Vaudoises	Glacier 3000 (Gstaad 3000 AG)	https://www.glacier3000.ch		3016	1546	9	10	31	11-08	04-30	Distinct glacier area, separate operator from TVGD. Base = Col du Pillon station; lowest lift point Reusch ~1345 m
2cf4001f-f631-45a2-91cf-77421537a8d3	Aigle	RESORT		VD	CH-1113														NOT_A_SKI_RESORT - valley town on the Rhône plain (~415 m), no lifts or pistes
ec9d8e2f-dd18-4482-81ff-a934ba9b66aa	Moléson	RESORT	STANDARD	FR	CH-1121			Gruyères	Gruyères-Moléson-Vudalla SA	https://www.moleson.ch		1978	1109	6	6	30	12-15	02-28	Fribourg pre-alpine area; funicular to Plan-Francey plus cable car to the 2002 m summit. Short low-altitude season
b7eeb4e7-a773-4fe3-b2b7-f6566cfa9e2b	Charmey	RESORT	STANDARD	FR	CH-1121			Gruyères	TéléCharmey SA	https://www.charmey.ch		1626	875		5	30	12-15	03-15	Charmey-Vounetz; run count not published, lift count varies 4-5 by source
c5962835-e2aa-4258-b364-862d257eaea3	Jaun	RESORT	STANDARD	FR	CH-1121			Jaunbach	Jaun-Gastlosen Bergbahnen AG	https://jaun-bergbahnen.jimdoweb.com		1571	1023		4	20	12-15	03-22	Small area at the foot of the Gastlosen; run count not reliably published
fd30b251-fe78-4591-9645-60fbb7b71ae5	Rochers-de-Naye	RESORT	MINOR	VD	CH-1111			Montreux area	SID Montreux	https://www.montreuxriviera.com		2012	1898		3	1	12-13	03-29	Still operating: ~1 km of piste, rail access only via the MOB cog railway. Lift count varies 3-5 by source
fe02a2d3-d79b-4098-b6ac-54646f855742	Andermatt	RESORT	CORE	UR	CH-2224			SkiArena	Andermatt-Sedrun Sport AG	https://www.andermatt-sedrun-disentis.ch		2961	1444	43	22	120	11-15	04-18	SkiArena Andermatt-Sedrun. With Disentis the combined region is 180 km / 33 lifts. Majority-owned by Vail Resorts since 2022
2d190485-600b-4424-a1b7-68584ac82e91	Realp	RESORT	MINOR	UR	CH-2223			Andermatt area	Skilift Realp	https://www.skiliftrealp.ch		1660	1550	1	2	1	12-15	03-28	Small T-bar + pony lift at the foot of the Furka Pass; separate from SkiArena, limited weekday opening
34c7efd1-99cd-42ca-b40a-eea7f78f16cc	Göschenen	RESORT		UR	CH-2223														NOT_A_SKI_RESORT - valley village (~1100 m) at the Gotthard north portal; nearest areas are Gemsstock/Andermatt 6-7 km away
2a92771f-c4dc-4a64-8ec9-950f1afcd952	Engelberg	RESORT	CORE	OW	CH-2122				TITLIS Bergbahnen	https://www.engelberg.ch		3020	1002		26	82	10-11	05-03	Covers Titlis-Trübsee-Jochpass plus the separate Brunni sector; Titlis sector alone is ~70 km / 18 lifts. Glacier gives a long season
daf160e5-62ef-4298-9a33-f24121a9e3a5	Melchsee-Frutt	RESORT	STANDARD	OW	CH-2123				Sportbahnen Melchsee-Frutt AG	https://frutt.ch		2255	1080	10	16	36	12-13	04-06	Base is Stöckalp 1080 m; the car-free village sits at ~1920 m, reached by gondola
4b711fc0-2355-4d83-839d-a5164313d5c8	Elm	RESORT	STANDARD	GL	CH-3113			Glarnerland	Sportbahnen Elm AG	https://sportbahnenelm.ch		2105	1020	16	5	40	12-12	03-28	Elm im Sernftal; official site states 40 km (some aggregators say 44), lift count varies 5-6
a5f4c802-10c3-4006-96d2-17f0fcefbe18	Braunwald	RESORT		GL	CH-3112			Glarnerland	Sportbahnen Braunwald AG	https://www.braunwald.ch		1901	1256						NOT_A_SKI_RESORT - retired — alpine lifts stop winter 2026/27 (SNOW-544). ALPINE SKI OPERATIONS DISCONTINUED from winter 2026/27 (announced 22 Jun 2026). Piste/lift/season fields blanked - pre-closure figures (~26 km, 10 lifts) no longer valid
2e85c106-25d5-4587-a91b-5b2d6867d59e	Klausenpass	TOURING_TERRAIN	STANDARD	GL	CH-3112														road pass (1948 m) closed from late Oct/early Nov to late May/June; no lifts
afe919a9-cdc8-4f3f-aeec-96d1ddbde28d	Wildhaus	RESORT	STANDARD	SG	CH-3211			Toggenburg	Bergbahnen Wildhaus AG	https://www.wildhaus.ch		2076	1020	12	6	23	12-12	03-28	Wildhaus-Gamserrugg sector. Shares the Toggenburg pass with Chäserrugg but is NOT lift-connected to it
f3826e53-ef76-4039-b7aa-c5b2f39cfc8b	Unterwasser	RESORT	STANDARD	SG	CH-3211			Toggenburg	Toggenburg Bergbahnen AG	https://www.chaeserrugg.ch		2262	910	23	12	50	11-28	04-06	Base village of the Chäserrugg/Unterwasser/Alt St. Johann sector; different operator from Wildhaus, not lift-connected
d0407dac-5400-4864-8667-36fe6ac042f6	Flumserberg	RESORT	STANDARD	SG	CH-3223				Bergbahnen Flumserberg AG	https://www.flumserberg.ch		2222	1220	43	17	65	11-16	03-29	Largest area between Zurich and Chur. Gondola also runs from Unterterzen (425 m); lowest piste ends at 665 m
997b8c34-ba8a-4bda-a5b2-995035c4c51a	Pizol	RESORT	STANDARD	SG	CH-3223			Bad Ragaz	Pizolbahnen AG	https://pizol.com		2250	509	22	12	43.6	11-27	04-04	Base 509 m is the Bad Ragaz valley station; second base at Wangs. Resort markets ~50 km incl. ski routes
cba3dc70-c1e0-4def-bbd0-cb3e332169f8	Airolo	RESORT	STANDARD	TI	CH-6112			Leventina	Valbianca SA	https://www.airolo.ch		2250	1175		8	30	12-23	03-28	Airolo-Pesciüm, Valle Leventina. Plus ~10 km of ski routes and ~1 km night skiing. Run count not published
740a7437-4d07-42c0-b225-b9566ed1ae06	Bedretto	RESORT	MINOR	TI	CH-6111			Valle Bedretto	Impianti Turistici Cioss Prato	https://ciossprato.jimdofree.com		1610	1550		2	0.6	12-26	03-15	Cioss Prato (Villa, Bedretto): one T-bar plus a children's lift, 60 m vertical. Val Bedretto is mainly cross-country
395c3903-60d5-4a5b-b284-8c57fabc5e54	Bosco Gurin	RESORT	STANDARD	TI	CH-6121				Centri Turistici Montani SA	https://www.bosco-gurin.ch		2331	1482	13	7	30	12-15	04-05	Grossalp above Bosco/Gurin, Ticino's highest and only Walser-German village. Some sources quote ~2400 m top
08759426-8006-4202-bbb4-9df8ee2571a9	Blenio	RESORT	MINOR	TI	CH-6113			Lucomagno	Società Cooperativa Impianti Turistici Campo Blenio-Ghirone	https://www.campoblenio.ch		1578	1207		3	2	12-15	03-15	Matched to Campo Blenio. Lucomagno pass itself has no lifts. Nara-Leontica is in Acquarossa, not Blenio
eca1ec24-1a29-4aac-a9cf-9d5820552546	Locarno	RESORT		TI	CH-6131			Centovalli											NOT_A_SKI_RESORT - lakeside city (~200 m); Centovalli is a valley/rail line. Nearby Cardada-Cimetta permanently ended ski operations
6555f088-e308-4487-a08d-5210bb0cc4c1	San Bernardino	RESORT	STANDARD	GR/TI	CH-6211			Mesolcina	San Bernardino SA Impianti Turistici	https://sanbernardino-swissalps.com		2525	1637	15	11	39.8	12-06	03-28	Closed for several years, reopened 27 Dec 2023 under new owner. Operation remains snow/finance dependent - verify each season
2711d130-9eaa-5659-a0a9-0fc2c094362c	Sedrun	RESORT	CORE	GR	CH-5211	46.68	8.777				Graubünden half of SkiArena Andermatt-Sedrun. Sheet already carries Andermatt at 120 km domain figures with no Sedrun row.	2600			11	55			
15b3a592-7810-526b-983a-5a2b47b78d74	Anzère	RESORT	CORE	VS	CH-4121	46.293	7.398				Open bowls under Pas de Maimbré; main gateway to Wildhorn/Rawil touring.	2420			12	58			
b3fb5973-b2a2-51bf-ab7d-98d430455351	Hoch-Ybrig	RESORT	CORE	SZ	CH-2132	47.015	8.79				Largest resort in Schwyz, heavy Zurich day-trip load, busy touring hub (Druesberg, Fluebrig).	1831			12	50			
ce636e6c-971f-5b08-b8f9-e57246108ad6	Mythenregion	RESORT	CORE	SZ	CH-2132	47.035	8.69				Ibergeregg and the Mythen flanks are among the busiest touring areas in Central CH, with a real accident record.	1593			17	50			
bbb3d82c-9115-56a5-9bfb-915c83c75af2	Grächen	RESORT	CORE	VS	CH-4221	46.195	7.837				Largest Valais resort absent. Seetalhorn high alpine terrain, heavy off-piste.	2864			10	44			
e95120fe-c256-542a-9d08-7924d184a0fc	Sörenberg	RESORT	CORE	LU	CH-2121	46.822	8.037				Largest resort in Lucerne, only high-alpine terrain in the Entlebuch. Brienzer Rothorn freeride.	2298			14	42			
4562ec07-0948-5ee6-90a2-9cee30e991e6	Klewenalp-Stockhütte	RESORT	CORE	NW	CH-2124	46.944	8.49				Main lift-served area in Nidwalden; north-facing bowls under Brisen.	1938			15	40			
b5d4a4cc-1334-5a97-8859-1e5c9c06a2d8	Brigels/Waltensburg/Andiast	RESORT	CORE	GR	CH-5124	46.777	9.07				Mid-size Surselva area, known powder descents toward Waltensburg.	2418			10	40			
1df74e40-6d61-5557-af48-7344dd91a093	Les Mosses-La Lécherette	RESORT	CORE	VD	CH-1113	46.393	7.1				One of Romandie's busiest touring basins (Pic Chaussy, Para) with frequent involvements.	1874			14	40			
7a80c9b5-06d2-5a46-b097-caf27bd5bc62	Blatten-Belalp	RESORT	CORE	VS	CH-4214	46.383	7.98				1796 m vertical to 3118 m; strong freeride reputation, marked ski routes.	3118			10	38.1			
2fc9653c-cbe0-510f-82ce-81b538490b6e	Stoos	RESORT	CORE	SZ	CH-2133	46.979	8.663				Fronalpstock and Klingenstock are steep and exposed; terrain quality exceeds lift count.	1935			8	35			
44bfdeb2-8522-56d8-a38c-aaa6d2c8a241	Nax - Mont-Noble	RESORT	CORE	VS	CH-4122	46.24	7.44				Reaches 2640 m at the mouth of Val d'Hérens; popular randonnée circuits.	2640			6	35			
e00b6a66-c07a-5500-8aa0-77e76526afb1	Tschiertschen	RESORT	CORE	GR	CH-5122	46.815	9.61				Nationally known freeride destination. Four lifts, disproportionate avalanche relevance.	2381			4	32			
97b18c6a-7adb-5152-9726-61033044fee7	Grüsch Danusa	RESORT	CORE	GR	CH-5112	46.965	9.66				Mid-size Prättigau area with substantial off-piste and a touring gateway.	1800			6	31			
0490f13a-5b53-55f9-a70d-718d1d4c72d6	Chur Brambrüesch	RESORT	STANDARD	GR	CH-5122	46.835	9.52				Cable car from the city; common Dreibündenstein touring start.	2174			5	20			
3d6f6c30-cf77-5783-aeb8-8525ba540463	Schwarzsee	RESORT	STANDARD	FR	CH-1121	46.665	7.28				Fribourg's most important touring hub (Kaiseregg, Schafberg); high accident density for its altitude.	1751			6	20			
88b0556c-2e92-5463-9687-8379241c3770	Carì	RESORT	STANDARD	TI	CH-6115	46.475	8.828				Mid-size Leventina area; touring base for the Campolungo group.	2280			4	20			
50b1a98d-2258-55c7-990c-ec8388d028e6	Bellwald	RESORT	STANDARD	VS	CH-4241	46.43	8.175				Goms sun terrace to 2558 m; common start for Goms tours.	2558			5	20			
211e743b-e0e6-5e77-aee3-8c6cec23d0ef	Rougemont - La Videmanette	RESORT	STANDARD	VD	CH-1112	46.488	7.2				Vaud gateway into the Gstaad domain; Gummfluh couloirs.	2151			3	20			
bd1a0b13-face-5972-a14f-52eb1f9e5955	Sarn (Heinzenberg)	RESORT	STANDARD	GR	CH-5221	46.752	9.412				Natural-snow slopes, touring toward Bischolapass.	2075			4	20			
c199ed30-6934-51ce-b3b9-93db5b7ca055	Hochwang	RESORT	STANDARD	GR	CH-5112	46.88	9.59				Natural-snow Schanfigg area, notable touring hill.	2299			3	19.6			
af062716-f033-5d12-bf91-f42203453a3c	Unterbäch	RESORT	STANDARD	VS	CH-4221	46.283	7.785				Adjoins Moosalp/Eischoll; Ginals terrain to 2443 m.	2443			7	19			
12af26c8-0227-57e9-860f-51ae0d55957c	Amden-Arvenbüel	RESORT	STANDARD	SG	CH-3222	47.152	9.145				Mattstock and the Amden terraces; steep sun-exposed south faces.	1684			6	17			
e5aac11b-1fdf-5952-8423-4151e456e6af	Engstligenalp	RESORT	STANDARD	BE	CH-1227	46.47	7.61				High plateau above Adelboden, own cable car, not piste-connected. Primary Wildstrubel touring launch.	2353			8	17			
0b0a3dc6-ac18-5d58-8045-4bb5e1f8adfc	Fideriser Heuberge	RESORT	STANDARD	GR	CH-5112	46.885	9.72				Car-free, tour-focused clientele. High open avalanche-prone terrain (Arflina, Chüpfenflue).	2356			4	15			
7b47ff43-baca-55f4-ab9e-119bb7f31cfe	Axalp ob Brienz	RESORT	STANDARD	BE	CH-1241	46.718	8.033				Natural-snow slopes; touring toward Windegg.	1959			6	15			
06684883-d502-574e-a96f-e4fc3402cc38	Alt St. Johann - Sellamatt	RESORT	STANDARD	SG	CH-3222	47.1922	9.2783				Separate Toggenburg base under the Churfirsten north faces — a frequently fatal touring zone.	1620			4	12			
f281925f-94c8-52b3-9688-f69d79a13505	Mörlialp	RESORT	STANDARD	OW	CH-2121	46.845	8.155				Main non-Melchsee area in Obwalden; open bowls toward Glaubenbielen.	1837			8	12			
1f358f4f-7b92-5e26-87f0-7274789e5c20	Wiriehorn	RESORT	STANDARD	BE	CH-1228	46.615	7.565				Diemtigtal; steep north flanks. Sheet already has Grimmialp in the same valley.	1868			6	11.2			
0be39bee-9c0d-5f10-be00-ab2c6b4211bd	Säntis - Schwägalp	RESORT	STANDARD	AR	CH-3222	47.255	9.323				No groomed pistes — pure freeride/ski-route terrain. Operator suspends skier transport from level 3 up.	2473			1	10			
976a5009-e69e-558e-9b8c-d8c9b6e2018e	Ebenalp - Wasserauen	RESORT	STANDARD	AI	CH-3222	47.284	9.427				Principal winter access into the Alpstein; standard start for heavily used tours.	1720			7	10			
ffdb671a-7911-59fc-96a5-d3b84c6eb325	Brunni - Engelberg	RESORT	STANDARD	OW	CH-2122	46.825	8.4				Separate operator opposite Titlis; Ristis/Rigidalstock touring start.	2075			10	8.5			
ef6a5f70-7809-523f-914e-d23ed97f50a2	Gitschenen - Isenthal	RESORT	MINOR	UR	CH-2212	46.9	8.567				Two lifts, nationally known touring base (Uri Rotstock, Schwalmis, Brisen).	1570			2	5			
98bd56e7-aa00-5867-b5ef-56ef194bc172	St. Antönien	RESORT	MINOR	GR	CH-5111	46.977	9.803				Tiny village lift. One of Switzerland's most important touring basins, very high backcountry traffic.	1656			2	3			
ec426d23-8134-5ef9-99a9-f99db1641411	Bannalp	RESORT	MINOR	NW	CH-2122	46.865	8.445				High snow-sure plateau; touring base for Walenstöcke, Ruchstock, Brisen.	1793			3	3			
8152192b-ae61-5ae7-8dc3-d50dee168ea3	Lauenen	RESORT	MINOR	BE	CH-1222	46.437	7.32				Single lift, but a heavily used touring valley (Wildhorn, Geltenhorn).	1405			1	3.5			
fa06c765-1d1a-59bb-b3e6-ca00fa298b56	Brunni - Alpthal	RESORT	MINOR	SZ	CH-2132	47.065	8.73				One lift. Among the most used touring and snowshoe trailheads in Central CH, significant accident record.	1200			1	1.3			
0ac82ef8-b266-5461-8231-91d33f314999	Haldigrat	RESORT	MINOR	NW	CH-2122	46.902	8.418				Freeride-only, no prepared pistes, no avalanche control on the descents. A pure decision venue.	1937			1	0			
